Enterprise,Title,Location,Link
케이크(주),DW/DM 구축 및 비지니스 분석 담당자 모집,경기성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45181412
(주)스마일게이트메가포트,[마케팅] 영상 컨텐츠 제작 담당,경기성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45155804
(주)스마일게이트스토브,[플랫폼기획디자인] 플랫폼 디자인시스템 구축 담당,경기성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45181094
(주)스마일게이트스토브,[인프라기술] 시스템 엔지니어,경기성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45182036
(주)스마일게이트메가포트,서비스기획 담당,경기성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45155561
(주)스마일게이트메가포트,[마케팅] 웹디자인/UI디자인 담당,경기성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45155751
(주)에이치알글로벌네트워크,[대기업/일본계/리스/캐피탈] 데브옵스 DevOps JAVA,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45340698
쓰리핸즈(3Handz),[ DevOps 엔지니어 ] 국내 1위 채용관리 솔루션기업,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45345495
(주)플랫타이엑스,플랫타이엑스 개발 직군 정규직 채용 (백엔드/DevOps),서울서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44941117
(주)체리,"[체리 코어개발팀] AWS, Kubernetes/DevOps/시스템관리자 채용",서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45256978
휴머레인컨설팅,긴급) DevOps Engineer - 업계 최고 대기업 - 최우대,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45348052
휴머레인컨설팅,긴급) 업계 최고 대기업 - DevOps Engineer - 최우대,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45348070
디앤에스에버(주),[블록체인 플랫폼] 정규직 DevOps/Cloud/Infra engineer(AWS),서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45361310
(주)LG유플러스,DevOps Engineer 상시 모집,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44910676
